drivers/staging/greybus/arche-apb-ctrl.c: total: 0 errors, 2 warnings, 0 checks, 490 lines checked
drivers/staging/greybus/arche-platform.c: total: 0 errors, 1 warnings, 1 checks, 660 lines checked
drivers/staging/greybus/arche_platform.h: total: 0 errors, 0 warnings, 0 checks, 28 lines checked
drivers/staging/greybus/audio_apbridgea.c: total: 0 errors, 0 warnings, 0 checks, 205 lines checked
drivers/staging/greybus/audio_apbridgea.h: total: 0 errors, 0 warnings, 0 checks, 132 lines checked
drivers/staging/greybus/audio_codec.c: total: 0 errors, 1 warnings, 0 checks, 1100 lines checked
drivers/staging/greybus/audio_codec.h: total: 0 errors, 0 warnings, 2 checks, 243 lines checked
drivers/staging/greybus/audio_gb.c: total: 0 errors, 0 warnings, 0 checks, 225 lines checked
drivers/staging/greybus/audio_helper.c: total: 0 errors, 0 warnings, 1 checks, 180 lines checked
drivers/staging/greybus/audio_helper.h: total: 0 errors, 0 warnings, 0 checks, 17 lines checked
drivers/staging/greybus/audio_manager.c: total: 0 errors, 0 warnings, 0 checks, 187 lines checked
drivers/staging/greybus/audio_manager.h: total: 0 errors, 0 warnings, 0 checks, 81 lines checked
drivers/staging/greybus/audio_manager_module.c: total: 0 errors, 1 warnings, 0 checks, 241 lines checked
drivers/staging/greybus/audio_manager_private.h: total: 0 errors, 0 warnings, 0 checks, 26 lines checked
drivers/staging/greybus/audio_manager_sysfs.c: total: 0 errors, 0 warnings, 0 checks, 101 lines checked
drivers/staging/greybus/audio_module.c: total: 0 errors, 0 warnings, 0 checks, 479 lines checked
drivers/staging/greybus/audio_topology.c: total: 0 errors, 0 warnings, 0 checks, 1443 lines checked
drivers/staging/greybus/authentication.c: total: 0 errors, 0 warnings, 3 checks, 424 lines checked
drivers/staging/greybus/bootrom.c: total: 0 errors, 0 warnings, 0 checks, 526 lines checked
drivers/staging/greybus/camera.c: total: 0 errors, 0 warnings, 7 checks, 1371 lines checked
drivers/staging/greybus/firmware.h: total: 0 errors, 0 warnings, 0 checks, 41 lines checked
drivers/staging/greybus/fw-core.c: total: 0 errors, 0 warnings, 0 checks, 311 lines checked
drivers/staging/greybus/fw-download.c: total: 0 errors, 0 warnings, 1 checks, 465 lines checked
drivers/staging/greybus/fw-management.c: total: 0 errors, 0 warnings, 6 checks, 715 lines checked
drivers/staging/greybus/gb-camera.h: total: 0 errors, 0 warnings, 6 checks, 126 lines checked
drivers/staging/greybus/gbphy.c: total: 0 errors, 0 warnings, 0 checks, 358 lines checked
drivers/staging/greybus/gbphy.h: total: 0 errors, 0 warnings, 2 checks, 109 lines checked
drivers/staging/greybus/gpio.c: total: 0 errors, 0 warnings, 0 checks, 626 lines checked
drivers/staging/greybus/greybus_authentication.h: total: 0 errors, 0 warnings, 0 checks, 74 lines checked
drivers/staging/greybus/greybus_firmware.h: total: 0 errors, 0 warnings, 4 checks, 75 lines checked
drivers/staging/greybus/hid.c: total: 0 errors, 0 warnings, 0 checks, 520 lines checked
drivers/staging/greybus/i2c.c: total: 0 errors, 0 warnings, 0 checks, 322 lines checked
drivers/staging/greybus/Kconfig: total: 0 errors, 1 warnings, 0 checks, 216 lines checked
drivers/staging/greybus/light.c: total: 6 errors, 6 warnings, 2 checks, 1344 lines checked
drivers/staging/greybus/log.c: total: 0 errors, 0 warnings, 0 checks, 133 lines checked
drivers/staging/greybus/loopback.c: total: 0 errors, 2 warnings, 16 checks, 1163 lines checked
drivers/staging/greybus/Makefile: total: 0 errors, 0 warnings, 0 checks, 73 lines checked
drivers/staging/greybus/power_supply.c: total: 0 errors, 0 warnings, 3 checks, 1141 lines checked
drivers/staging/greybus/pwm.c: total: 0 errors, 0 warnings, 0 checks, 331 lines checked
drivers/staging/greybus/raw.c: total: 0 errors, 0 warnings, 1 checks, 381 lines checked
drivers/staging/greybus/sdio.c: total: 0 errors, 0 warnings, 0 checks, 884 lines checked
drivers/staging/greybus/spi.c: total: 0 errors, 0 warnings, 0 checks, 79 lines checked
drivers/staging/greybus/spilib.c: total: 0 errors, 0 warnings, 1 checks, 571 lines checked
drivers/staging/greybus/spilib.h: total: 0 errors, 0 warnings, 0 checks, 26 lines checked
drivers/staging/greybus/TODO: 0 errors, 0 warnings, 0 checks
drivers/staging/greybus/uart.c: total: 0 errors, 1 warnings, 6 checks, 1024 lines checked
drivers/staging/greybus/usb.c: total: 0 errors, 0 warnings, 0 checks, 246 lines checked
drivers/staging/greybus/vibrator.c: total: 0 errors, 0 warnings, 0 checks, 249 lines checked
